NUM_OF_BEDROOMS,NUM_OF_BATHROOMS,LIVING_AREA_sqft,LOT_AREA_sqft,FLOORS,WATER FRONT,VIEW_RATING,CONDITION_RATING,ABOVE_BASEMENT_sqft,BASEMENT_sqft,YEAR_BUILT,YEAR_RENOVATED,PRICE,CITY,ZIP,TOTAL_HOUSE_AREA_sqft
5.0,2.0,3090,12750,1.0,0.0,0.0,3.0,1750,1340,1968,1997,384900.0,FederalWay,98023,3090
3.0,2.0,1410,1332,3.0,0.0,0.0,3.0,1410,0,2005,0,406100.0,Seattle,98103,1410
3.0,2.0,2010,6000,1.0,0.0,0.0,3.0,1330,680,1975,0,570000.0,Redmond,98052,2010
3.0,2.0,1330,7500,1.0,0.0,0.0,3.0,1330,0,1961,2004,787000.0,Bellevue,98004,1330
4.0,2.0,2370,6500,2.0,0.0,0.0,3.0,2370,0,1998,2006,328000.0,Auburn,98092,2370
5.0,2.0,1840,9240,1.0,0.0,0.0,4.0,1540,300,1942,1958,435000.0,Seattle,98133,1840
4.0,2.0,2910,6479,2.0,0.0,0.0,3.0,2910,0,2006,0,499000.0,Snoqualmie,98065,2910
4.0,1.0,2070,7519,1.0,0.0,0.0,3.0,1160,910,1963,2008,501000.0,Bellevue,98008,2070
2.0,1.0,840,5510,1.0,0.0,0.0,3.0,840,0,1955,2005,400000.0,Seattle,98136,840
4.0,2.0,1240,9600,1.0,0.0,0.0,3.0,1240,0,1971,0,220000.0,FederalWay,98023,1240
4.0,1.0,1390,4240,1.0,0.0,0.0,3.0,1050,340,1924,2011,657100.0,Seattle,98103,1390
4.0,3.0,2310,5000,2.0,0.0,0.0,3.0,2310,0,2006,0,309950.0,MapleValley,98038,2310
3.0,2.0,1050,10072,1.0,0.0,0.0,3.0,1050,0,1986,0,300000.0,Duvall,98019,1050
4.0,2.0,2010,3600,1.5,0.0,0.0,3.0,2010,0,1902,0,740000.0,Seattle,98119,2010
5.0,1.0,1120,9022,1.5,0.0,0.0,4.0,1120,0,1962,0,340000.0,Kirkland,98034,1120
3.0,2.0,2230,4000,2.0,0.0,0.0,3.0,2230,0,1954,2005,398750.0,Seattle,98144,2230
2.0,1.0,810,7158,1.0,0.0,0.0,5.0,810,0,1944,0,206000.0,Burien,98168,810
5.0,3.0,3190,16920,1.0,0.0,3.0,3.0,1690,1500,1976,0,1030000.0,Bellevue,98006,3190
4.0,2.0,1970,9389,1.0,0.0,0.0,5.0,1140,830,1960,0,379950.0,Shoreline,98133,1970
3.0,1.0,1450,6000,1.0,0.0,0.0,4.0,1450,0,1953,1983,287000.0,Seattle,98118,1450
3.0,2.0,1880,7838,2.0,0.0,0.0,3.0,1880,0,1994,0,309950.0,Renton,98055,1880
3.0,2.0,1880,6360,1.0,0.0,0.0,4.0,1040,840,1945,0,600000.0,Seattle,98115,1880
3.0,2.0,1410,6030,1.5,0.0,0.0,4.0,1410,0,1930,0,418000.0,Seattle,98103,1410
4.0,2.0,1480,3844,1.5,0.0,0.0,5.0,1480,0,1928,1970,449250.0,Seattle,98133,1480
2.0,1.0,1140,5250,1.5,0.0,0.0,4.0,1140,0,1949,1985,329950.0,Seattle,98133,1140
3.0,2.0,1920,9306,1.0,0.0,0.0,3.0,1000,920,1984,0,245000.0,Auburn,98001,1920
4.0,2.0,2910,6338,2.0,0.0,0.0,3.0,2910,0,2008,0,549000.0,Renton,98059,2910
3.0,2.0,3240,7857,2.0,0.0,0.0,3.0,3240,0,1994,0,800000.0,Sammamish,98075,3240
3.0,2.0,1550,15040,1.0,0.0,0.0,4.0,1550,0,1958,1972,249950.0,Renton,98059,1550
5.0,2.0,2050,10200,1.0,0.0,0.0,3.0,1430,620,1956,2001,210000.0,DesMoines,98198,2050
2.0,1.0,1770,8640,1.5,0.0,0.0,3.0,1520,250,1949,1998,585000.0,Seattle,98117,1770
4.0,2.0,2300,11700,1.0,0.0,0.0,4.0,1960,340,1977,0,615000.0,Redmond,98052,2300
3.0,2.0,1800,5000,1.0,0.0,0.0,4.0,1080,720,1942,1982,618500.0,Seattle,98115,1800
4.0,2.0,2010,9211,1.0,0.0,0.0,3.0,1470,540,1977,2004,487585.0,Kirkland,98034,2010
3.0,2.0,1790,2700,2.0,0.0,0.0,3.0,1790,0,2010,0,509900.0,Issaquah,98027,1790
4.0,2.0,2440,6651,2.0,0.0,0.0,3.0,2440,0,2014,0,631625.0,Seattle,98117,2440
3.0,2.0,1940,3211,2.0,0.0,0.0,3.0,1940,0,2009,0,555000.0,Issaquah,98027,1940
2.0,2.0,1160,1438,2.0,0.0,0.0,3.0,1160,0,2001,0,340000.0,Seattle,98144,1160
4.0,2.0,3400,9692,2.0,0.0,0.0,3.0,3400,0,2007,0,830000.0,Redmond,98052,3400
4.0,4.0,4420,5750,2.0,0.0,0.0,3.0,3410,1010,2006,0,890000.0,Issaquah,98027,4420
3.0,3.0,1571,2017,3.0,0.0,0.0,3.0,1571,0,2008,0,366750.0,Seattle,98125,1571
3.0,2.0,1620,998,2.5,0.0,0.0,3.0,1540,80,2010,0,415000.0,Issaquah,98029,1620
3.0,2.0,1408,989,3.0,0.0,0.0,3.0,1408,0,2005,0,416286.0,Seattle,98115,1408
3.0,2.0,3040,4535,2.0,0.0,0.0,3.0,3040,0,2007,0,478000.0,Renton,98056,3040
5.0,4.0,4490,6000,2.0,0.0,0.0,3.0,3200,1290,2006,0,890000.0,Issaquah,98027,4490
2.0,2.0,1590,1426,2.0,0.0,0.0,3.0,1590,0,2014,0,419190.0,Issaquah,98029,1590
4.0,2.0,1440,7680,1.0,0.0,0.0,3.0,1200,240,1971,0,397000.0,Kirkland,98034,1440
2.0,2.0,1100,3000,1.5,0.0,0.0,3.0,1100,0,1912,2005,450000.0,Seattle,98117,1100
3.0,1.0,1350,7740,1.0,0.0,0.0,4.0,860,490,1947,1988,353000.0,Seattle,98125,1350
3.0,2.0,1490,8366,1.0,0.0,0.0,4.0,1010,480,1975,0,234000.0,Covington,98042,1490
3.0,2.0,2000,7000,2.0,0.0,0.0,3.0,2000,0,1916,1986,561000.0,Seattle,98136,2000
2.0,1.0,1030,4400,1.0,0.0,0.0,3.0,1030,0,1924,2011,469000.0,Seattle,98117,1030
2.0,1.0,720,6687,1.0,0.0,0.0,3.0,720,0,1942,1999,329350.0,Seattle,98117,720
5.0,2.0,2020,5000,1.5,0.0,0.0,4.0,2020,0,1938,0,488000.0,Seattle,98117,2020
3.0,2.0,1580,8151,1.0,0.0,1.0,4.0,1100,480,1962,0,279900.0,DesMoines,98198,1580
4.0,2.0,2110,13850,2.0,0.0,0.0,3.0,2110,0,1987,2000,606000.0,Issaquah,98027,2110
4.0,2.0,1300,7054,1.0,0.0,0.0,3.0,1300,0,1950,2013,312000.0,Seattle,98146,1300
3.0,2.0,1630,7475,1.0,0.0,1.0,3.0,1160,470,1940,1996,650000.0,Seattle,98115,1630
4.0,3.0,3370,8103,1.0,0.0,3.0,3.0,1970,1400,1970,2014,1135000.0,Seattle,98136,3370
4.0,2.0,1890,6156,1.0,0.0,0.0,3.0,980,910,1980,0,325000.0,Seattle,98106,1890
4.0,2.0,1520,7983,1.0,0.0,0.0,5.0,1520,0,1967,0,425000.0,InglewoodFinnHill,98034,1520
2.0,1.0,900,5160,1.0,0.0,0.0,3.0,900,0,1952,2008,219000.0,Seattle,98106,900
3.0,1.0,1050,6874,1.0,0.0,0.0,3.0,1050,0,1954,2005,250000.0,Shoreline,98133,1050
3.0,2.0,1260,6500,1.0,0.0,0.0,4.0,1260,0,1966,0,390000.0,Bellevue,98008,1260
4.0,2.0,2290,12047,2.0,0.0,0.0,4.0,2290,0,1988,0,736000.0,Bellevue,98006,2290
3.0,2.0,1650,13816,2.0,0.0,0.0,3.0,1650,0,1998,2006,272000.0,Carnation,98014,1650
3.0,2.0,1640,14374,1.0,0.0,0.0,4.0,1140,500,1963,0,362000.0,Burien,98148,1640
3.0,2.0,1850,10109,2.0,0.0,0.0,3.0,1850,0,1991,0,535000.0,Kirkland,98034,1850
4.0,2.0,2000,5390,2.0,0.0,0.0,3.0,2000,0,2003,0,284000.0,Kent,98042,2000
3.0,2.0,1410,9647,1.0,0.0,0.0,3.0,1410,0,1961,2004,367500.0,Shoreline,98177,1410
4.0,2.0,1500,11600,1.0,0.0,0.0,4.0,1000,500,1955,2009,379900.0,Kenmore,98028,1500
3.0,1.0,1010,7034,1.0,0.0,0.0,3.0,1010,0,1954,2005,175000.0,Renton,98057,1010
4.0,2.0,2331,3826,2.0,0.0,0.0,3.0,2331,0,2007,0,345000.0,Renton,98058,2331
5.0,2.0,2240,7770,1.0,0.0,0.0,3.0,1340,900,1978,0,455000.0,Kirkland,98034,2240
4.0,3.0,2450,10117,1.0,0.0,0.0,5.0,1580,870,1967,0,610000.0,Bellevue,98006,2450
4.0,3.0,3100,15480,2.0,0.0,0.0,3.0,2400,700,1996,0,563000.0,Kenmore,98028,3100
4.0,2.0,2060,5000,1.0,0.0,0.0,3.0,1030,1030,1949,2013,612500.0,Seattle,98117,2060
3.0,2.0,1850,7684,1.0,0.0,0.0,3.0,1320,530,1979,2014,218000.0,FederalWay,98023,1850
4.0,2.0,1840,10720,1.0,0.0,0.0,3.0,960,880,1958,2004,404000.0,Bellevue,98008,1840
3.0,2.0,1420,8580,1.0,0.0,0.0,3.0,1420,0,1962,2003,136500.0,FederalWay,98023,1420
3.0,1.0,1510,6083,1.0,0.0,0.0,4.0,860,650,1940,2001,313950.0,Seattle,98115,1510
3.0,2.0,2130,6500,1.0,0.0,2.0,3.0,1170,960,1954,2005,575000.0,Seattle,98199,2130
3.0,2.0,1630,11800,1.0,0.0,0.0,4.0,1630,0,1971,0,280000.0,NorthBend,98045,1630
3.0,2.0,1790,7167,2.0,0.0,0.0,3.0,1790,0,1989,0,515000.0,Sammamish,98074,1790
4.0,2.0,2000,5684,2.0,0.0,0.0,3.0,2000,0,1996,0,513000.0,Kenmore,98028,2000
4.0,2.0,3030,7864,2.0,0.0,0.0,3.0,3030,0,1999,0,685000.0,Sammamish,98074,3030
3.0,2.0,1310,8160,1.0,0.0,0.0,3.0,1310,0,1950,2005,365000.0,Seattle,98133,1310
4.0,2.0,3880,14550,2.0,0.0,0.0,3.0,3880,0,1987,2000,762300.0,Sammamish,98074,3880
5.0,2.0,3040,8111,2.0,0.0,0.0,3.0,3040,0,1984,0,562000.0,Redmond,98052,3040
5.0,2.0,2910,9636,1.0,0.0,0.0,4.0,1690,1220,1964,0,530000.0,Bellevue,98008,2910
3.0,2.0,2970,11985,1.0,0.0,0.0,3.0,1770,1200,1995,0,525000.0,Sammamish,98074,2970
2.0,2.0,1660,6000,1.0,0.0,0.0,3.0,1160,500,1942,1999,484000.0,Seattle,98105,1660
4.0,2.0,3200,12369,2.0,0.0,0.0,3.0,3200,0,1998,2006,725126.0,Newcastle,98059,3200
4.0,2.0,2680,18768,1.0,0.0,0.0,5.0,2680,0,1965,0,360000.0,Auburn,98001,2680
3.0,1.0,1230,9568,1.0,0.0,0.0,5.0,1230,0,1962,0,387000.0,Newcastle,98056,1230
4.0,4.0,3380,8330,2.0,0.0,0.0,3.0,3380,0,2000,0,655500.0,Shoreline,98177,3380
3.0,1.0,1110,6250,1.0,0.0,0.0,3.0,1110,0,1956,2001,345000.0,Seattle,98115,1110
5.0,3.0,1800,3780,1.5,0.0,0.0,3.0,1400,400,1926,2003,533000.0,Seattle,98103,1800
3.0,2.0,1900,5520,1.0,0.0,0.0,3.0,1280,620,1982,0,385000.0,Seattle,98118,1900
3.0,2.0,1690,7735,1.0,0.0,0.0,4.0,1060,630,1976,1992,197000.0,Auburn,98001,1690
3.0,2.0,1420,4080,1.5,0.0,0.0,3.0,1420,0,1905,2013,485000.0,Seattle,98103,1420
3.0,2.0,1980,8000,1.0,0.0,0.0,4.0,1560,420,1974,0,295000.0,FederalWay,98023,1980
2.0,2.0,1170,2400,1.0,0.0,0.0,4.0,740,430,1903,0,499000.0,Seattle,98103,1170
3.0,2.0,2200,1970,2.0,0.0,0.0,3.0,1610,590,2008,0,1050000.0,Seattle,98102,2200
3.0,2.0,800,8850,1.0,0.0,0.0,4.0,800,0,1959,0,191000.0,FederalWay,98023,800
3.0,2.0,1480,1171,3.0,0.0,0.0,3.0,1480,0,2006,0,500000.0,Seattle,98112,1480
5.0,4.0,2890,5000,1.0,0.0,0.0,3.0,1310,1580,2006,0,390000.0,Seattle,98144,2890
3.0,2.0,2690,4047,3.0,0.0,0.0,3.0,2690,0,2014,0,979000.0,Seattle,98117,2690
3.0,2.0,1270,1320,3.0,0.0,0.0,3.0,1270,0,2006,0,369950.0,Seattle,98103,1270
4.0,2.0,3040,6425,2.0,0.0,0.0,3.0,3040,0,2008,0,776000.0,Redmond,98052,3040
3.0,2.0,1170,1249,3.0,0.0,0.0,3.0,1170,0,2014,0,519950.0,Seattle,98107,1170
5.0,2.0,2060,8632,1.0,0.0,0.0,3.0,1030,1030,1962,2003,255000.0,Burien,98146,2060
3.0,1.0,990,6000,1.0,0.0,0.0,3.0,990,0,1943,2002,495000.0,Seattle,98105,990
4.0,2.0,2430,5203,2.0,0.0,0.0,3.0,2430,0,2003,0,510000.0,Shoreline,98155,2430
3.0,2.0,1250,10122,1.0,0.0,0.0,3.0,1250,0,1994,0,253000.0,BlackDiamond,98010,1250
3.0,3.0,1540,6760,1.0,0.0,0.0,5.0,1210,330,1980,0,503000.0,Kirkland,98034,1540
3.0,2.0,1600,7000,2.0,0.0,0.0,4.0,1600,0,1993,0,275000.0,MapleValley,98038,1600
3.0,1.0,1110,8423,1.0,0.0,0.0,3.0,1110,0,1952,2008,249000.0,Burien,98166,1110
3.0,2.0,1840,10723,1.0,0.0,0.0,4.0,1220,620,1974,0,310000.0,Renton,98058,1840
3.0,3.0,2520,5401,1.0,0.0,0.0,4.0,1360,1160,1946,1989,750000.0,Seattle,98119,2520
9.0,4.0,3830,6988,2.5,0.0,0.0,3.0,2450,1380,1938,2003,599999.0,Seattle,98103,3830
4.0,3.0,2410,9549,1.0,0.0,0.0,4.0,1780,630,1956,0,758000.0,Kirkland,98033,2410
4.0,2.0,1720,10018,1.0,0.0,0.0,5.0,1720,0,1960,0,248500.0,Covington,98042,1720
3.0,2.0,1760,9055,2.0,0.0,0.0,4.0,1760,0,1985,0,460000.0,Redmond,98052,1760
3.0,2.0,1680,10500,1.0,0.0,0.0,4.0,1680,0,1959,0,675000.0,Bellevue,98005,1680
4.0,3.0,1830,9548,2.0,0.0,0.0,3.0,1830,0,1991,0,415000.0,Bothell,98028,1830
3.0,1.0,1400,7410,1.0,0.0,0.0,3.0,1400,0,1944,0,246000.0,Burien,98166,1400
3.0,2.0,1870,12381,1.0,0.0,0.0,4.0,1870,0,1957,2001,314500.0,FederalWay,98003,1870
2.0,2.0,1040,3500,1.5,0.0,0.0,4.0,1040,0,1904,0,420000.0,Seattle,98144,1040
3.0,1.0,1010,9360,1.0,0.0,0.0,3.0,1010,0,1981,2013,350000.0,Kirkland,98033,1010
3.0,2.0,1580,9147,1.0,0.0,1.0,4.0,1210,370,1967,0,515000.0,Bellevue,98008,1580
4.0,3.0,2600,6050,2.0,0.0,0.0,5.0,1960,640,1949,0,749950.0,Seattle,98116,2600
3.0,2.0,1920,9180,2.0,0.0,0.0,3.0,1920,0,1988,2000,230000.0,Renton,98057,1920
3.0,2.0,2350,5080,1.5,0.0,0.0,3.0,1780,570,1929,0,568000.0,Seattle,98118,2350
1.0,1.0,1100,4373,1.0,0.0,0.0,2.0,820,280,1947,0,250000.0,Burien,98166,1100
4.0,2.0,2510,13695,1.0,0.0,0.0,4.0,1280,1230,1961,2001,581000.0,Kirkland,98033,2510
2.0,1.0,1010,3885,1.5,0.0,0.0,4.0,1010,0,1906,1990,500000.0,Seattle,98112,1010
2.0,1.0,820,2723,1.0,0.0,0.0,3.0,820,0,1921,2000,475000.0,Seattle,98103,820
5.0,2.0,2420,8560,1.0,0.0,2.0,3.0,1620,800,1978,0,352000.0,Seattle,98118,2420
3.0,2.0,1770,8165,2.0,0.0,0.0,3.0,1770,0,1977,2004,420000.0,Kirkland,98034,1770
2.0,2.0,1350,3900,1.0,0.0,0.0,3.0,1350,0,2003,0,428000.0,Redmond,98053,1350
3.0,2.0,1960,4788,1.0,0.0,0.0,4.0,1090,870,1920,0,599000.0,Seattle,98115,1960
4.0,2.0,3305,16164,1.5,0.0,0.0,5.0,2245,1060,1922,1956,492000.0,Shoreline,98133,3305
2.0,2.0,2550,5663,1.0,0.0,0.0,3.0,1720,830,2011,0,630000.0,Renton,98056,2550
4.0,2.0,2310,13300,1.0,0.0,0.0,3.0,1890,420,1950,2005,1110000.0,ClydeHill,98004,2310
4.0,2.0,1650,5000,1.0,0.0,0.0,3.0,1650,0,1955,2005,575000.0,Seattle,98117,1650
4.0,2.0,2650,4316,1.5,0.0,0.0,3.0,1520,1130,1905,2013,705000.0,Seattle,98116,2650
4.0,2.0,1890,5940,1.0,0.0,1.0,3.0,1470,420,1963,2008,940000.0,Seattle,98112,1890
3.0,2.0,2190,8000,1.0,0.0,0.0,4.0,2190,0,1967,0,313000.0,FederalWay,98023,2190
3.0,2.0,2030,6500,2.0,0.0,0.0,3.0,2030,0,1988,2000,618080.0,Issaquah,98027,2030
3.0,3.0,2270,5175,2.0,0.0,0.0,3.0,2130,140,2002,0,640000.0,Renton,98056,2270
3.0,2.0,1610,4160,1.0,0.0,0.0,4.0,1010,600,1917,0,485000.0,Seattle,98136,1610
2.0,1.0,760,3001,1.0,0.0,0.0,3.0,760,0,1913,1983,300000.0,Seattle,98144,760
2.0,1.0,1640,17335,1.0,0.0,0.0,3.0,840,800,1978,0,379500.0,Redmond,98053,1640
3.0,2.0,1630,12295,2.0,0.0,0.0,4.0,1630,0,1985,0,339950.0,Renton,98058,1630
3.0,2.0,1410,7566,1.0,0.0,0.0,3.0,1410,0,1985,0,239900.0,Kent,98030,1410
3.0,1.0,1040,16986,1.0,0.0,0.0,4.0,1040,0,1968,0,314950.0,Renton,98059,1040
2.0,1.0,820,6400,1.0,0.0,0.0,4.0,820,0,1944,0,361280.0,Seattle,98126,820
7.0,6.0,3700,7647,2.0,0.0,1.0,3.0,3700,0,1948,1984,540000.0,LakeForestPark,98155,3700
4.0,2.0,2180,11200,1.0,0.0,0.0,4.0,2180,0,1968,0,480500.0,Woodinville,98072,2180
3.0,2.0,1600,4271,2.0,0.0,0.0,3.0,1600,0,2000,0,280000.0,Auburn,98001,1600
3.0,2.0,1500,6180,1.0,0.0,0.0,4.0,1060,440,1947,1988,440000.0,Seattle,98118,1500
3.0,1.0,1340,4284,1.0,0.0,0.0,3.0,1080,260,1910,2006,530000.0,Seattle,98105,1340
3.0,2.0,1860,13374,1.0,0.0,0.0,3.0,1860,0,1985,0,560000.0,Issaquah,98027,1860
3.0,2.0,2540,7200,1.5,0.0,3.0,4.0,1600,940,1905,0,775000.0,Seattle,98144,2540
2.0,1.0,1040,13100,1.0,0.0,0.0,5.0,1040,0,1912,0,160000.0,Kent,98032,1040
3.0,2.0,1380,11130,1.0,0.0,0.0,3.0,1380,0,1960,2012,209950.0,FederalWay,98003,1380
3.0,2.0,1640,10762,1.0,0.0,0.0,3.0,1130,510,1988,2000,226500.0,Covington,98042,1640
